endpoint;path;description;changeType;oldValue;currentValue
"/banking-agents/";"get/parameters/page";"Adicionado - ""format""";"Adição";"";"int32"
"/banking-agents/";"get/parameters/page";"Adicionado - ""maximum""";"Adição";"";"2147483647"
"/banking-agents/";"get/parameters/page-size";"Adicionado - ""format""";"Adição";"";"int32"
"/banking-agents/";"get/parameters/page-size";"Adicionado - ""maximum""";"Adição";"";"1000"
"/banking-agents/";"get/responses";"Adicionado - ""400""";"Adição";"";""
"/banking-agents/";"get/responses";"Adicionado - ""404""";"Adição";"";""
"/banking-agents/";"get/responses";"Adicionado - ""405""";"Adição";"";""
"/banking-agents/";"get/responses";"Adicionado - ""429""";"Adição";"";""
"/banking-agents/";"get/responses";"Adicionado - ""500""";"Adição";"";""
"/banking-agents/";"get/responses";"Adicionado - ""504""";"Adição";"";""
"/banking-agents/";"get/responses";"Adicionado - ""529""";"Adição";"";""
"/banking-agents/";"get/responses";"Adicionado - ""default""";"Adição";"";""
"/banking-agents/";"get/responses/200";"Removido - ""example""";"Remoção";"";""
"/banking-agents/";"get/responses/200/data";"Alterado - ""type""";"Alteração";"object";"array"
"/banking-agents/";"get/responses/200/data";"Removido - ""required""";"Remoção";"";""
"/banking-agents/";"get/responses/200/data";"Removido - ""properties""";"Remoção";"";""
"/banking-agents/";"get/responses/200/data";"Adicionado - ""items""";"Adição";"";""
"/banking-agents/";"get/responses/200/data";"Adicionado - ""minItems""";"Adição";"";"1"
"/banking-agents/";"get/responses/200/links";"Adicionado - ""description""";"Adição";"";"Referências para outros recursos da API requisitada"
"/banking-agents/";"get/responses/200/links/first";"Alterado - ""example""";"Alteração";"https://api.banco.com.br/open-banking/channels/v1/<resource>";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/banking-agents/";"get/responses/200/links/first";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/banking-agents/";"get/responses/200/links/first";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/banking-agents/";"get/responses/200/links/first";"Adicionado - ""minLength""";"Adição";"";"5"
"/banking-agents/";"get/responses/200/links/last";"Alterado - ""example""";"Alteração";"https://api.banco.com.br/open-banking/channels/v1/<resource>";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/banking-agents/";"get/responses/200/links/last";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/banking-agents/";"get/responses/200/links/last";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/banking-agents/";"get/responses/200/links/last";"Adicionado - ""minLength""";"Adição";"";"5"
"/banking-agents/";"get/responses/200/links/next";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/banking-agents/";"get/responses/200/links/next";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/banking-agents/";"get/responses/200/links/next";"Adicionado - ""minLength""";"Adição";"";"5"
"/banking-agents/";"get/responses/200/links/next";"Adicionado - ""example""";"Adição";"";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/banking-agents/";"get/responses/200/links/prev";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/banking-agents/";"get/responses/200/links/prev";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/banking-agents/";"get/responses/200/links/prev";"Adicionado - ""minLength""";"Adição";"";"5"
"/banking-agents/";"get/responses/200/links/prev";"Adicionado - ""example""";"Adição";"";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/banking-agents/";"get/responses/200/links/self";"Alterado - ""example""";"Alteração";"https://api.banco.com.br/open-banking/channels/v1/<resource>";"https://api.banco.com.br/open-banking/channels/v2/resource"
"/banking-agents/";"get/responses/200/links/self";"Adicionado - ""pattern""";"Adição";"";"^(https:\/\/)?(www\.)?[-a-zA-Z0-9@:%._\+~#=]{2,256}\.[a-z]{2,6}\b([-a-zA-Z0-9@:%_\+.~#?&\/\/=]*)$"
"/banking-agents/";"get/responses/200/links/self";"Adicionado - ""maxLength""";"Adição";"";"2000"
"/banking-agents/";"get/responses/200/links/self";"Adicionado - ""minLength""";"Adição";"";"5"
"/banking-agents/";"get/responses/200/meta";"Adicionado - ""description""";"Adição";"";"Meta informações referente à API requisitada"
"/branches/";"get/parameters/page";"Adicionado - ""format""";"Adição";"";"int32"
"/branches/";"get/parameters/page";"Adicionado - ""maximum""";"Adição";"";"2147483647"
"/branches/";"get/parameters/page-size";"Adicionado - ""format""";"Adição";"";"int32"
"/branches/";"get/parameters/page-size";"Adicionado - ""maximum""";"Adição";"";"1000"
"/branches/";"get/responses";"Adicionado - ""400""";"Adição";"";""
"/branches/";"get/responses";"Adicionado - ""404""";"Adição";"";""
"/branches/";"get/responses";"Adicionado - ""405""";"Adição";"";""
"/branches/";"get/responses";"Adicionado - ""429""";"Adição";"";""
"/branches/";"get/responses";"Adicionado - ""500""";"Adição";"";""
"/branches/";"get/responses";"Adicionado - ""504""";"Adição";"";""
"/branches/";"get/responses";"Adicionado - ""529""";"Adição";"";""
"/branches/";"get/responses";"Adicionado - ""default""";"Adição";"";""
"/branches/";"get/responses/200";"Removido - ""example""";"Remoção";"";""
"/branches/";"get/responses/200/data";"Alterado - ""type""";"Alteração";"object";"array"
